cow;test_date;numpar;calving_date;milk;fat;protein;RCS;ETS;lactose;urea;bhb;weight
6725;19/07/2022;2;NA;36.54;3.33;2.96;1383;8.65;4.97;220;NULL;NA
6725;16/09/2022;2;NA;37.78;2.82;3.39;386;9.32;5.06;189;NULL;NA
6730;19/07/2022;1;NA;21.94;4.52;3.53;39;9.39;4.95;296;0.04;NA
6732;19/07/2022;1;28/10/2021 0:00;30.13;4.33;3.28;13;9.22;5.13;252;NULL;640
6732;16/09/2022;1;28/10/2021 0:00;30.22;3.88;3.28;16;9.34;5.26;146;NULL;640
6734;19/07/2022;2;30/04/2022 0:00;31.8;3;2.9;43;8.26;4.65;186;NULL;564
6734;16/09/2022;2;30/04/2022 0:00;36.28;4.2;3.04;18;8.54;4.78;188;NULL;564
7431;16/09/2022;1;09/04/2022 0:00;33.9;3.65;3.38;100;9.02;4.86;134;0.04;NA
7431;19/07/2022;1;09/04/2022 0:00;33.67;3.64;3.46;907;9.17;4.87;230;0.04;NA
7433;19/07/2022;1;12/07/2022 0:00;20;6.46;4.49;1086;9.54;4.17;327;0.04;NA
7433;16/09/2022;1;12/07/2022 0:00;23.45;5;3.4;20;9.08;4.95;188;NULL;NA
7434;16/09/2022;1;14/01/2022 0:00;35.19;3.52;3.25;62;9.07;5.03;181;0.04;NA
7434;19/07/2022;1;14/01/2022 0:00;24.83;3.78;3.21;2168;8.94;4.96;222;0.1;NA
7435;19/07/2022;1;10/02/2022 0:00;33.57;3.81;3.26;17;9.25;5.17;298;NULL;NA
7435;16/09/2022;1;10/02/2022 0:00;32.14;3.47;3.28;10;9.11;4.97;172;NULL;NA
7436;19/07/2022;1;27/12/2021 0:00;31.96;3.01;3.24;42;8.89;4.93;254;0.04;NA
7436;16/09/2022;1;27/12/2021 0:00;34.87;3.69;2.95;15;8.65;4.98;152;0.04;NA
7437;16/09/2022;1;20/07/2022 0:00;25.84;3.15;3;46;8.6;4.95;143;0.04;607.32434
7438;19/07/2022;1;11/05/2022 0:00;28.67;3.14;3;109;8.52;4.83;320;NULL;NA
7438;16/09/2022;1;11/05/2022 0:00;23.38;3.9;3.42;113;9;4.71;170;NULL;NA
7440;19/07/2022;1;NA;23.2;3.65;3.07;21;8.73;4.84;274;NULL;NA
7440;16/09/2022;1;NA;26.4;3.65;3.3;18;8.99;4.82;171;NULL;NA
7441;16/09/2022;1;23/06/2022 0:00;29.41;3.12;3.21;46;9.14;5.08;135;NULL;623.4609
7441;19/07/2022;1;23/06/2022 0:00;24.14;3.99;3.16;29;9.07;5.09;177;0.04;623.4609
7442;16/09/2022;1;08/08/2022 0:00;31;3.46;2.83;13;8.64;5.12;131;0.06;623.4609
7443;16/09/2022;1;29/07/2022 0:00;24.4;4.45;3.12;13;8.93;5.12;142;0.04;590.56808
7957;19/07/2022;3;26/03/2022 0:00;33.98;3.4;3.01;215;8.69;4.96;270;NULL;556
7957;16/09/2022;3;26/03/2022 0:00;37.15;3.52;3.09;48;8.75;4.96;132;NULL;556
8274;16/09/2022;3;25/08/2022 0:00;40.31;3.92;2.95;89;8.74;5.05;132;0.08;623.4609
9750;16/09/2022;2;25/04/2022 0:00;49.48;3.13;2.97;671;8.64;4.88;140;NULL;632
9750;19/07/2022;2;25/04/2022 0:00;49.64;2.14;2.63;2848;8.14;4.74;162;NULL;632
9752;19/07/2022;3;20/06/2022 0:00;30.68;3.14;2.92;95;8.38;4.73;177;0.04;631
9752;16/09/2022;3;20/06/2022 0:00;34.85;4.17;2.9;12;8.53;4.75;178;NULL;631
9753;16/09/2022;3;NA;33.7;3.55;3.37;26;9.16;4.92;100;0.04;NA
9754;19/07/2022;2;20/09/2021 0:00;33.45;3.16;3.11;23;8.67;4.78;240;0.04;597
9756;19/07/2022;1;NA;20.53;5.36;3.97;96;9.58;4.68;221;0.04;NA
9757;16/09/2022;3;NA;22.67;3.43;3.47;56;8.83;4.62;165;0.05;NA
9758;16/09/2022;2;03/02/2022 0:00;41.34;2.79;3.06;10;8.75;4.95;231;NULL;NA
9758;19/07/2022;2;03/02/2022 0:00;42.44;3;2.94;10;8.45;4.86;213;NULL;NA
9759;16/09/2022;2;06/12/2021 0:00;24.04;4.76;3.42;85;9.19;4.95;170;0.06;623
9759;19/07/2022;2;06/12/2021 0:00;29.2;3.98;3.26;149;8.84;4.83;280;0.04;623
9760;19/07/2022;2;NA;26;6.18;3.94;3844;9.46;4.65;286;0.04;NA
9765;16/09/2022;3;02/08/2022 0:00;46.28;3.9;3.15;24;8.73;4.87;161;0.06;606.70464
9769;19/07/2022;3;NA;33.2;3;2.99;137;8.57;4.8;271;NULL;NA
9769;16/09/2022;3;NA;40.4;1.5;3.04;108;8.79;4.84;101;NULL;NA
9772;16/09/2022;2;NA;30.8;5.9;3.57;61;9.44;5.06;145;0.04;NA
9772;19/07/2022;2;NA;32;4.27;3.14;71;9.02;5.17;336;0.04;NA
9779;19/07/2022;2;24/08/2021 0:00;27.03;3.66;3.58;153;9.2;4.7;163;0.04;572
9779;16/09/2022;2;24/08/2021 0:00;24;4.06;3.69;58;9.36;4.75;100;0.04;572
9780;16/09/2022;2;NA;22.4;3.92;3.45;36;9.29;4.99;136;0.09;NA
9780;19/07/2022;2;NA;21.6;4.3;3.07;24;8.87;5.02;284;0.1;NA
9785;19/07/2022;2;16/04/2022 0:00;30.55;3.97;3.32;45;9.08;4.94;205;NULL;597
9785;16/09/2022;2;16/04/2022 0:00;28.27;4.36;3.41;71;9.2;5;176;NULL;597
