Numero de vaca;Address;Fecha/hora de visita;tiempo en cubiculo;Produccion de leche;tiempo;Descripcion;CIB;
236;101;18/02/2022 10:30:00;5:32;10.4;5:32;Correcto;236;
246;101;18/02/2022 10:36:00;5:50;13.6;5:50;Correcto;246;
233;101;18/02/2022 10:43:00;6:43;14.9;6:43;Correcto;233;
212;101;18/02/2022 10:50:00;6:30;12.8;6:30;Correcto;212;
90;101;18/02/2022 10:56:00;6:22;18.6;6:22;Correcto;90;
53;101;18/02/2022 11:01:00;4:50;12.4;4:50;Correcto;53;
72;101;18/02/2022 11:06:00;4:29;12.8;4:29;Correcto;72;
59;101;18/02/2022 11:12:00;5:17;18.4;5:17;Correcto;59;
175;101;18/02/2022 11:19:00;7:43;15.6;7:43;Correcto;175;
150;101;18/02/2022 11:25:00;5:22;13.3;5:22;Correcto;150;
245;101;18/02/2022 11:31:00;5:40;8.6;5:40;Correcto;245;
259;101;18/02/2022 11:38:00;7:37;12.4;7:37;Correcto;259;
170;101;18/02/2022 11:48:00;9:44;14.9;9:44;Correcto;170;
58;101;18/02/2022 11:56:00;7:24;22.4;7:24;Correcto;58;
516;101;18/02/2022 12:03:00;6:54;11.1;6:54;Correcto;516;
412;101;18/02/2022 12:10:00;7:39;16.3;7:39;Correcto;412;
221;101;18/02/2022 12:16:00;5:21;12.2;5:21;Correcto;221;
249;101;18/02/2022 12:23:00;6:33;18.2;6:33;Correcto;249;
153;101;18/02/2022 12:30:00;7:14;19.5;7:14;Correcto;153;
473;101;18/02/2022 12:36:00;6:07;13.9;6:07;Correcto;473;
84;101;18/02/2022 12:45:00;8:12;17.1;8:12;Correcto;84;
146;101;18/02/2022 12:52:00;7:29;15.3;7:29;Correcto;146;
13;101;18/02/2022 13:01:00;7:45;12.7;7:45;Correcto;13;
195;101;18/02/2022 13:12:00;10:55;16.4;10:55;Correcto;195;
31;101;18/02/2022 13:17:00;4:52;13.3;4:52;Correcto;31;
168;101;18/02/2022 13:24:00;6:19;13.8;6:19;Correcto;168;
134;101;18/02/2022 13:28:00;4:10;8.7;4:10;Correcto;134;
81;101;18/02/2022 13:35:00;6:43;7.8;6:43;Correcto;81;
280;101;18/02/2022 13:43:00;7:24;11;7:24;Correcto;280;
291;101;18/02/2022 13:50:00;6:22;13.5;6:22;Correcto;291;
167;101;18/02/2022 13:55:00;5:02;6;5:02;Tiempo muerto de orde�o TI;167;
138;101;18/02/2022 14:01:00;4:13;11.2;4:13;Correcto;138;
117;101;18/02/2022 14:10:00;8:43;16.7;8:43;Correcto;117;
47;101;18/02/2022 14:16:00;5:28;16.3;5:28;Correcto;47;
149;101;18/02/2022 14:23:00;6:34;9.3;6:34;Correcto;149;
227;101;18/02/2022 14:27:00;4:41;11.7;4:41;Correcto;227;
394;101;18/02/2022 14:35:00;7:15;12.7;7:15;Correcto;394;
231;101;18/02/2022 14:44:00;8:16;16.8;8:16;Correcto;231;
171;101;18/02/2022 14:55:00;9:58;18.3;9:58;Correcto;171;
21;101;18/02/2022 15:04:00;8:14;12.3;8:14;Correcto;21;
404;101;18/02/2022 15:09:00;5:02;10.8;5:02;Correcto;404;
130;101;18/02/2022 15:15:00;6:17;11.1;6:17;Correcto;130;
220;101;18/02/2022 15:20:00;4:59;10;4:59;Correcto;220;
76;101;18/02/2022 15:26:00;5:38;12.2;5:38;Correcto;76;
224;101;18/02/2022 15:33:00;6:07;9.2;6:07;Correcto;224;
240;101;18/02/2022 15:38:00;4:54;13.1;4:54;Correcto;240;
196;101;18/02/2022 15:43:00;5:11;11.3;5:11;Correcto;196;
245;101;18/02/2022 15:49:00;5:50;9.4;5:50;Correcto;245;
226;101;18/02/2022 15:54:00;5:03;10.3;5:03;Correcto;226;
532;101;18/02/2022 16:05:00;10:47;10.8;10:47;Correcto;532;
185;101;18/02/2022 16:13:00;6:35;15.5;6:35;Correcto;185;
77;101;18/02/2022 16:24:00;10:22;18.6;10:22;Correcto;77;
72;101;18/02/2022 16:28:00;4:22;11.9;4:22;Correcto;72;
208;101;18/02/2022 16:39:00;10:00;12;10:00;Correcto;208;
132;101;18/02/2022 16:45:00;6:03;13.1;6:03;Correcto;132;
228;101;18/02/2022 16:51:00;5:46;8.7;5:46;Correcto;228;
170;101;18/02/2022 16:59:00;8:01;10.1;8:01;Correcto;170;
167;101;18/02/2022 17:03:00;3:01;0.1;3:01;Intentos de conexi�n TD;167;
13;101;18/02/2022 17:09:00;5:27;6.2;5:27;Correcto;13;
233;101;18/02/2022 17:16:00;6:40;12;6:40;Correcto;233;
53;101;18/02/2022 17:21:00;4:55;12.6;4:55;Correcto;53;
212;101;18/02/2022 17:26:00;5:17;10.5;5:17;Correcto;212;
236;101;18/02/2022 17:32:00;5:47;14.9;5:47;Correcto;236;
412;101;18/02/2022 17:38:00;5:23;9.4;5:23;Correcto;412;
259;101;18/02/2022 17:47:00;8:57;11.9;8:57;Correcto;259;
81;101;18/02/2022 17:56:00;8:14;8.4;8:14;Correcto;81;
141;101;18/02/2022 18:03:00;7:09;14;7:09;Correcto;141;
49;101;18/02/2022 18:38:00;6:40;15;6:40;Correcto;49;
47;101;18/02/2022 18:44:00;5:15;10.4;5:15;Correcto;47;
473;101;18/02/2022 18:50:00;5:49;12.1;5:49;Correcto;473;
