cow,date,kgm,time,meanCH4,meanCO2,meanRatioCH4_CO2,AUC_CH4,AUC_Ratio,peaks,peaks_per_minute,Sum_of_PeaksCH4,Sum_of_PeaksCO2,Sum_of_PeaksRatio,Mean_of_PeaksCH4,Mean_of_PeaksRatio,Sum_MaxPeak,meanCH4_5s,Sum_of_PeaksCH4_5s,validity
6718,Wed Aug 10 18:15:21 CEST 2022,11.06,358,233.16,4924.57,0.03,17013.18,2.1,3,0.5,8572.96,152115.75,1.06,46.24,0.01,201.79,233.37,1696.09,11
6720,Wed Aug 10 18:23:59 CEST 2022,7.69,260,196.78,2844.69,0.07,19040.77,6.39,5,1.15,9657.69,142866.46,3.26,49.07,0.02,332.31,197.5,1915.38,11
6499,Wed Aug 10 18:28:21 CEST 2022,10.3,298,730.94,5319.14,0.13,73735.57,9.37,4,0.81,37143.62,240981.74,4.73,203.28,0.03,1793.96,717.46,7608.72,1
9752,Wed Aug 10 18:37:39 CEST 2022,11.53,280,385.15,4986.61,0.07,37191.43,4.84,4,0.86,18830.57,229245.86,2.48,97.4,0.01,515.57,382.14,3711,0
5420,Wed Aug 10 18:48:21 CEST 2022,14.23,418,618.7,4723.12,0.12,41641.15,7.68,3,0.43,20850.72,163421.05,3.85,90.04,0.02,976.08,610.17,4187.08,11
7371,Wed Aug 10 19:00:52 CEST 2022,8.39,267,162.13,3578.1,0.05,12532.58,3.37,4,0.9,6368.09,133684.04,1.74,46.12,0.02,252.58,163.62,1252.58,1
7431,Wed Aug 10 19:05:21 CEST 2022,13.08,298,237.36,4870.52,0.05,24861.34,5.25,5,1.01,12528.32,209083.09,2.68,42.64,0.01,309.06,236.64,2507.11,1
9785,Wed Aug 10 19:12:01 CEST 2022,18.48,378,342.03,4334.81,0.06,23414.29,3.82,4,0.63,11868.25,135672.38,1.95,62.14,0.01,328.57,344,2366.67,11
5132,Wed Aug 10 19:18:21 CEST 2022,18.81,418,221.01,4937.67,0.1,12383.25,5.54,4,0.57,6262.39,123431.77,2.84,38.69,0.02,225.22,218.5,1209.76,0
7435,Wed Aug 10 19:27:00 CEST 2022,15.95,439,594.03,6079.86,0.08,37533.49,5.28,5,0.68,18999.09,174135.31,2.68,85.56,0.01,701.14,606,3755.81,1
